Task Name,Bucket,Start Date,Due Date,Status,Priority,Assigned To,Description
"Finalize company name and legal identity","Founder governance","","","Not started","2","","Confirm the final legal/public company name, domain, trademark screening, and approval path."
"Define founder ownership, equity, and capital structure","Founder governance","","","Not started","1","","Agree founder percentages, vesting, contribution model, capital expectations, and founder risk allocation."
"Create founder agreement and authority matrix","Founder governance","","","Not started","1","","Define voting, decision rights, contract authority, removal, departure, and deadlock procedures."
"Set founder roles, responsibilities, and decision rights","Founder governance","","","Not started","2","","Document responsibilities, approvals, budgets, authority thresholds, and escalation process."
"Select entity and tax structure","Legal and tax","","","Not started","1","","Confirm LLC vs corporation, tax treatment, registrations, and counsel-reviewed legal structure."
"Establish banking, accounting, and expense controls","Legal and tax","","","Not started","2","","Open business banking, accounting controls, vendor policy, expense workflow, and reporting cadence."
"Review insurance and risk coverage","Legal and tax","","","Not started","2","","Define professional liability, cyber, E&O, and operational coverage needs."
"Finalize contract framework and customer terms","Legal and tax","","","Not started","2","","Prepare MSA, SOW, NDA, partner addenda, and scope/change-order policy."
"Approve launch pricing model","Commercial model","","","Not started","1","","Finalize Foundation Core, Full, and Complex pricing, terms, and pricing governance."
"Define Foundation Core scope and exclusions","Commercial model","","","Not started","2","","Document the entry-level foundation offer, included work, excluded items, and upgrade triggers."
"Define Foundation Full scope and exclusions","Commercial model","","","Not started","2","","Document the standard offer, deliverables, evidence, and conditions that trigger a change order."
"Define Foundation Complex conditions and repricing triggers","Commercial model","","","Not started","2","","Identify legacy takeover, migration, data-cleanup, device chaos, and regulated work triggers."
"Decide initial launch sequence","Service launch","","","Not started","2","","Choose assessment-first, Foundation-first, or paired sequence for initial customer acquisition."
"Choose first target customer segment","Service launch","","","Not started","2","","Define the initial customer type, size range, and launch focus."
"Finalize managed-support boundary","Operations and support","","","Not started","2","","Define included support, excluded support, hours, escalation, and responsibilities."
"Select internal operating stack","Technology and tools","","","Not started","2","","Choose CRM, quoting, service management, documentation, finance, security, and secrets tools."
"Select initial partner shortlist","Partners and distribution","","","Not started","2","","Identify and qualify the required legal, tax, insurance, security, and technical partners."
"Choose Microsoft partner pathway","Partners and distribution","","","Not started","2","","Evaluate direct partner, indirect CSP, or distributor model for Microsoft licensing and support."
"Select distributor or CSP partner","Partners and distribution","","","Not started","2","","Evaluate candidate distributors or CSPs, including Pax8, and decide the operational path."
"Define partner governance model","Partners and distribution","","","Not started","2","","Document customer ownership, referral economics, confidentiality, escalation, liability, and transition rules."
"Approve internal security baseline","Security and technology","","","Not started","2","","Confirm the company internal security stack and approval process before launch."
"Confirm first pilot customer","Sales and pilots","","","Not started","2","","Identify a real pilot customer and expected scope, outcome measures, and capacity."
"Set launch date and capacity model","Sales and pilots","","","Not started","2","","Define realistic launch timeline, founder time commitment, and delivery capacity."
"Define first-quarter success metrics","Sales and pilots","","","Not started","2","","Create the KPIs for pipeline, revenue, delivery, customer outcomes, and operational health."
"Prepare sales kit and discovery package","Sales and pilots","","","Not started","2","","Create one-page offer, proposal templates, discovery questionnaire, and service summary."
"Build partner evaluation scorecard","Partners and distribution","","","Not started","2","","Create a repeatable partner scorecard for distributor, security, compliance, and specialist partners."
"Create recommendation and decision log for open items","Governance and reporting","","","Not started","2","","Maintain a live record of what is decided, pending, and required approval."
"Review and update backlog after each milestone","Governance and reporting","","","Not started","3","","Refresh status, owners, and deadlines as each item is closed or changed."
